Country,VeganCosts,VegetarianCosts
Russian Federation,20.37272727272727,11.345454545454546
Saint Kitts and Nevis,34.92727272727273,21.536363636363635
Saint Lucia,38.07272727272727,24.045454545454547
Saint Vincent and the Grenadines,39.027272727272724,24.28181818181818
Sao Tome and Principe,10.245454545454546,5.445454545454545
Saudi Arabia,44.46363636363636,25.30909090909091
Senegal,19.927272727272726,16.436363636363637
Sierra Leone,7.136363636363637,5.654545454545454
Slovenia,24.873873873873872,14.36036036036036
Slovakia,13.472727272727273,4.627272727272727
South Africa,60.20909090909091,49.56363636363636
Spain,22.10810810810811,14.315315315315315
Suriname,29.318181818181817,20.327272727272728
Tajikistan,23.37272727272727,12.763636363636364
Eswatini,47.96363636363636,36.28181818181818
Sweden,32.432432432432435,18.36936936936937
Switzerland,27.35135135135135,14.576576576576576
Turkmenistan,89.03636363636363,63.82727272727273
"China, Taiwan Province of",24.48181818181818,19.418181818181818
United Republic of Tanzania,21.818181818181817,14.10909090909091
Thailand,11.581818181818182,7.963636363636364
Togo,8.072727272727272,6.427272727272728
Trinidad and Tobago,40.263636363636365,22.754545454545454
Oman,66.8,38.945454545454545
Tunisia,37.36363636363637,17.0
Turkey,61.763636363636365,25.663636363636364
United Arab Emirates,50.21818181818182,25.454545454545453
Uganda,19.509090909090908,12.463636363636363
United Kingdom,26.783783783783782,16.774774774774773
Ukraine,17.918181818181818,7.463636363636364
United States of America,42.10909090909091,28.272727272727273
Burkina Faso,19.28181818181818,12.572727272727272
Uruguay,91.26363636363637,53.92727272727273
Uzbekistan,65.50909090909092,41.8
Venezuela (Bolivarian Republic of),56.04545454545455,41.27272727272727
Viet Nam,18.272727272727273,16.154545454545456
Ethiopia,18.272727272727273,9.236363636363636
Samoa,38.20909090909091,31.7
Yemen,22.09090909090909,13.972727272727273
Zambia,13.209090909090909,11.145454545454545
Belgium,23.89189189189189,11.36936936936937
Luxembourg,34.549549549549546,22.01801801801802
Serbia,15.675675675675675,8.774774774774775
Montenegro,28.36036036036036,12.72972972972973
Sudan,57.58181818181818,26.490909090909092
China,21.636363636363637,16.818181818181817
